"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference","Model","CurrencyPrimary","AssetClass","SubCategory","Conid","SecurityID","SecurityIDType","CUSIP","ListingExchange","UnderlyingSymbol","UnderlyingListingExchange","Issuer","IssuerCountryCode","Exchange","Proceeds","Taxes","IBCommission","IBCommissionCurrency","OrigTradePrice","OrigTradeDate","OrigTradeID","OrigOrderID","OrigTransactionID","ClearingFirmID","IBOrderID","BrokerageOrderID","HoldingPeriodDateTime","WhenRealized","WhenReopened","OrderType","InitialInvestment","PositionActionID","SerialNumber","CommodityType","AccountAlias","ISIN","UnderlyingConid","Multiplier","RelatedTradeID","ExchOrderID","ExtExecID","ChangeInPrice","TraderID"
"U110638","AEM","AGNICO EAGLE MINES LTD","","","20230404","","SELL","20230331;202500","","20230404","20230403","FracShare","-0.28","52.53","-14.7084","14.7084","55.38","C","","-13.156567","1.551833","","","EXECUTION","","-0.798","23509590181","","","","","USD","STK","COMMON","4205","CA0084741085","ISIN","008474108","NYSE","","","","","--","14.7084","0","0","USD","0","","","0","0","","23509590181","","","","","","","","","","","CA0084741085","","1","","N/A","N/A","0",""
"U110638","AEM","AGNICO EAGLE MINES LTD","","","20230614","","SELL","20230614;124826","","20230614","20230616","ExchTrade","-11","50.311","-553.421","552.414977632","50.14","C","","-495.211693","57.203284","20230614;124826","","EXECUTION","5542222923","1.881","24170568579","0000e95f.648a0db3.01.01","","","","USD","STK","COMMON","4205","CA0084741085","ISIN","008474108","NYSE","","","","","DARK","553.421","0","-1.006022368","USD","0","","","0","0","","2841905012","0001406e.00015ddd.648948fb.0002","","","","LMT","","","","","","CA0084741085","","1","","N/A","EXC-69699","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230103","","SELL","20230103;093003","","20230103","20230105","ExchTrade","-200","85.49","-17098","17096.5794558","85.82","C","","-30610.114524","0","20221227;103002","","EXECUTION","5192568028","-66","22626724647","0000febb.63b3f85a.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","ISLAND","17098","0","-1.4205442","USD","0","","","0","0","","2660645979","0001406e.00015ddd.63aa85aa.0001","","","","LMT","","","","","","US0231351067","","1","","N/A","0304844932","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230112","","SELL","20230112;093003","","20230112","20230117","ExchTrade","-100","96.93","-9693","9691.7635303","95.27","C","","-15305.057262","-5613.293732","20230112;092703","","EXECUTION","5213903937","166","22719958045","0000febb.63bfe501.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","ISLAND","9693","0","-1.2364697","USD","0","","","0","0","","2671692703","0001406e.00015ddd.63bfa22e.0003","","","","LMT","","","","","","US0231351067","","1","","N/A","0305896972","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230317","","SELL","20230317;162000","","20230317","20230321","BookTrade","-100","95","-9500","9499.9095","98.95","C","A","-15305.057262","-5694.190148","","","EXECUTION","5362258290","-395","23358313056","","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","--","9500","0","-0.0905","USD","0","","","0","0","","23358313056","","","","","","","64218886","","","","US0231351067","","1","","N/A","N/A","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230330","","BUY","20230330;135640","","20230330","20230403","ExchTrade","100","101.29","10129","-10130","102","O","","10130","5694.190148","20230330;135637","","EXECUTION","5388637185","71","23473773949","0000febb.64257786.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","ISLAND","-10129","0","-1","USD","0","","","0","0","","2761680919","0001406e.00015ddd.64251241.0002","","","","LMT","","","","","","US0231351067","","1","","N/A","0361416051","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230330","","BUY","20230330;135743","","20230330","20230403","ExchTrade","15","101.23","1518.45","-1519.45","102","O","P","1519.45","0","20230330;135743","","EXECUTION","5388640648","11.55","23473785135","0001c38a.6425b835.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","DARK","-1518.45","0","-1","USD","0","","","0","0","","2761682380","0001406e.00015ddd.64251245.0001","","","","LMT","","","","","","US0231351067","","1","","N/A","00297623879XENA1","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230330","","BUY","20230330;135743","","20230330","20230403","ExchTrade","85","101.229","8604.465","-8604.465","102","O","P","8604.465","0","20230330;135743","","EXECUTION","5388640658","65.535","23473785138","0001c38a.6425b834.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","DARK","-8604.465","0","0","USD","0","","","0","0","","2761682380","0001406e.00015ddd.64251245.0001","","","","LMT","","","","","","US0231351067","","1","","N/A","00297623878XENA1","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230530","","BUY","20230530;135351","","20230530","20230601","ExchTrade","100","121.06","12106","-12107","121.66","O","","12107","0","20230530;135351","","EXECUTION","5507698828","60","24016343456","0001c47b.64760bdb.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","PEARL","-12106","0","-1","USD","0","","","0","0","","2823801238","0001406e.00015ddd.64630bea.0002","","","","LMT","","","","","","US0231351067","","1","","N/A","167491629940544595B","0",""
"U110638","AMZN","AMAZON.COM INC","","","20230530","","BUY","20230530;140602","","20230530","20230601","ExchTrade","100","121.13","12113","-12114","121.66","O","","12114","0","20230530;140602","","EXECUTION","5507761812","53","24016511372","0002264f.64767a64.01.01","","","","USD","STK","COMMON","3691937","US0231351067","ISIN","023135106","NASDAQ","","","","","DARK","-12113","0","-1","USD","0","","","0","0","","2823834143","0001406e.00015ddd.64758692.0001","","","","LMT","","","","","","US0231351067","","1","","N/A","nyd5#S11763fe005248","0",""
