Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"March 21, 2019 - December 31, 2021"
Statement,Data,WhenGenerated,"2026-03-21, 20:57:20 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,121459.230410043
Summary,Data,Change,185076.18997499303
Summary,Data,Ending Cash,306535.42038503604
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount,Sub Type,Transaction Fees,Multiplier
Transaction History,Data,2021-12-30,U***132,AUY 20JAN23 3.5 C,Sell,AUY   230120C00003500,-1.0,0.98,USD,98.0,-1.0238498,96.9761502,-,-,100.0
Transaction History,Data,2021-12-29,U***638,AUY 21JAN22 6.0 C,Buy,AUY   220121C00006000,1.0,0.01,USD,-1.0,-0.60135,-1.60135,-,-,100.0
Transaction History,Data,2021-12-29,U***132,Sell -100 YAMANA GOLD INC (Assignment),Assignment,AUY,-100.0,3.0,USD,300.0,-0.01343,299.98657,-,-,1.0
Transaction History,Data,2021-12-28,U***132,AUY 18FEB22 4.0 C,Sell,AUY   220218C00004000,-1.0,0.31,USD,31.0,-0.6035081,30.3964919,-,-,100.0
Transaction History,Data,2021-12-28,U***638,AUY 18FEB22 4.5 C,Sell,AUY   220218C00004500,-1.0,0.13,USD,13.0,-1.0234163,11.976583699999999,-,-,100.0
Transaction History,Data,2021-12-28,U***638,AUY 18FEB22 4.0 C,Sell,AUY   220218C00004000,-1.0,0.33,USD,33.0,-1.0235183,31.9764817,-,-,100.0
Transaction History,Data,2021-12-28,U***638,AUY 15JUL22 5.5 C,Sell,AUY   220715C00005500,-1.0,0.15,USD,15.0,-0.6034265,14.3965735,-,-,100.0
Transaction History,Data,2021-12-28,U***132,AUY 20JAN23 4.5 C,Sell,AUY   230120C00004500,-1.0,0.56,USD,56.0,-1.0236356,54.9763644,-,-,100.0
Transaction History,Data,2021-12-28,U***132,AUY 20JAN23 5.5 C,Sell,AUY   230120C00005500,-1.0,0.33,USD,33.0,-1.0235183,31.9764817,-,-,100.0
Transaction History,Data,2021-12-27,U***638,AUY 18FEB22 5.0 C,Sell,AUY   220218C00005000,-1.0,0.05,USD,5.0,-1.0133755,3.9866245,-,-,100.0
Transaction History,Data,2021-12-27,U***638,AUY 20JAN23 7.0 C,Sell,AUY   230120C00007000,-1.0,0.17,USD,17.0,-1.5034367,15.4965633,-,-,100.0
Transaction History,Data,2021-12-27,U***638,AUY 21JAN22 5.5 C,Buy,AUY   220121C00005500,1.0,0.03,USD,-3.0,-0.82135,-3.82135,-,-,100.0
Transaction History,Data,2021-12-27,U***132,AUY 15JUL22 4.0 C,Sell,AUY   220715C00004000,-1.0,0.51,USD,51.0,-0.6036101,50.3963899,-,-,100.0
Transaction History,Data,2021-12-27,U***132,AUY 15JUL22 4.5 C,Sell,AUY   220715C00004500,-1.0,0.33,USD,33.0,-1.0235183,31.9764817,-,-,100.0
Transaction History,Data,2021-12-27,U***132,AUY 20JAN23 5.0 C,Sell,AUY   230120C00005000,-1.0,0.39,USD,39.0,-0.6035489,38.3964511,-,-,100.0
Transaction History,Data,2021-12-27,U***132,AUY 20JAN23 7.0 C,Sell,AUY   230120C00007000,-1.0,0.17,USD,17.0,-1.5034367,15.4965633,-,-,100.0
Transaction History,Data,2021-12-27,U***638,AUY 15JUL22 5.0 C,Sell,AUY   220715C00005000,-2.0,0.21,USD,42.0,-0.5069142,41.4930858,-,-,100.0
Transaction History,Data,2021-12-27,U***638,AUY 20JAN23 5.0 C,Sell,AUY   230120C00005000,-1.0,0.39,USD,39.0,-0.6035489,38.3964511,-,-,100.0
