Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 2, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2026-03-21, 20:52:53 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,331840.39066896297
Summary,Data,Change,-98880.83450059997
Summary,Data,Ending Cash,232959.556168363
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,27.0,12.75,USD,-344.25,-1.0,-345.25
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,73.0,12.75,USD,-930.75,-,-930.75
Transaction History,Data,2020-12-29,U***638,RXT 19FEB21 15.0 P,Buy,RXT   210219P00015000,1.0,0.25,USD,-25.0,-1.0738,-26.0738
Transaction History,Data,2020-12-29,U***638,CVM 19FEB21 15.0 P,Sell,CVM   210219P00015000,-1.0,5.45,USD,545.0,-0.2478445,544.7521555
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,15.0,12.68,USD,-190.2,-1.0,-191.2
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,72.0,12.68,USD,-912.96,-,-912.96
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,13.0,12.69,USD,-164.97,-1.0,-165.97
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,200.0,12.62,USD,-2524.0,-1.0,-2525.0
Transaction History,Data,2020-12-29,U***2030,CEL-SCI CORP,Buy,CVM,100.0,12.58,USD,-1258.0,-1.0,-1259.0
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,3.0,12.58,USD,-37.74,-0.3774,-38.1174
Transaction History,Data,2020-12-29,U***638,CEL-SCI CORP,Buy,CVM,97.0,12.58,USD,-1220.26,-0.6226,-1220.8826
Transaction History,Data,2020-12-29,U***132,CEL-SCI CORP,Buy,CVM,100.0,12.57,USD,-1257.0,-1.0,-1258.0
Transaction History,Data,2020-12-29,U***638,F 15JAN21 10.0 C,Buy,F     210115C00010000,2.0,0.03,USD,-6.0,-1.1676,-7.1676
